"loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","pymnt_plan","url","desc","purpose","title","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","mths_since_last_major_derog","policy_code","is_bad"
8700,8700,"36 months","7.05%",268.83,"A","A1","Accenture","2 years","MORTGAGE",54000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=472637","Borrower added on 12/28/09 > Loan requested for a late model Mercedes; 40% of the purchase price is being paid in cash.  Thanks very much.<br/>","car","Short Term Auto Loan","752xx",2.67,0,"11/1/96",0,NA,NA,8,0,3519,11.3,15,FALSE,NA,4697,0
4000,4000,"36 months","6.62%",122.82,"A","A2","Skillpath Seminars","10+ years","MORTGAGE",47580,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1019333",NA,"debt_consolidation","Year End 2011","662xx",1.13,0,"11/1/97",1,NA,NA,6,0,1000,2.6,15,FALSE,NA,1532,0
5000,5000,"36 months","16.45%",176.9,"E","E1","Dish Network","3 years","RENT",43000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=581383",NA,"major_purchase","My personal loan","851xx",13.51,0,"12/1/05",0,48,NA,4,0,275,21.2,5,FALSE,NA,2270,1
4000,4000,"36 months","8.90%",127.02,"A","A5","CITY OF RUNAWAY BAY","10+ years","MORTGAGE",62400,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=966246",NA,"car","VOLVO","762xx",11.44,0,"9/1/98",0,67,NA,17,0,4816,17.1,26,FALSE,NA,1575,0
22000,22000,"36 months","12.67%",737.78,"D","D2","Eastern Vinyl & Liner, Inc.","9 years","MORTGAGE",90000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=221301","The credit cards are getting to us.  We had a lull in income with my personl business and had to use them for some expenses.  We are in a better place now but the payments are incredible.  We both work fulltime.  Have three sons, one in college and one headed ther in 2 years.  We really want a lower rate making it easier to pay this debt off.  We would love to close these two credit card accounts!","credit_card","Credit Cards","240xx",13.04,1,"1/1/94",0,8,0,14,0,22738,30.8,37,FALSE,NA,8994,0
17000,17000,"60 months","14.91%",403.63,"D","D2","Bob Barker Company","6 years","RENT",60000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=706831",NA,"debt_consolidation","Allen Loan","276xx",8.58,0,"11/1/01",0,NA,NA,12,0,772,5.1,14,FALSE,NA,8099,1
1600,1600,"36 months","10.59%",52.08,"B","B2","Abrams, Gorelick, Friedman & Jacobson","9 years","RENT",51000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=770888",NA,"vacation","Vacation","104xx",10.85,0,"7/1/89",0,NA,95,12,1,11716,70.6,20,FALSE,NA,258,0
10000,10000,"36 months","7.49%",311.02,"A","A4","Lockheed Martin","6 years","MORTGAGE",60000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=764623","Borrower added on 05/20/11 > My Deck needs to be replaced. I have $2500 saved up for it, but want to get it installed over the summer. The rates at lending club were worth getting financing for it instead of waiting till I could pay for it outright. <br/>Since leaving grad school I have never been unemployed. My Job requires a security clearance, which I cannot have with a poor credit score.<br/>","home_improvement","Loan for Deck","802xx",24.46,0,"11/1/98",1,34,NA,11,0,2744,8.9,34,FALSE,NA,5549,0
3600,3600,"36 months","11.12%",118.07,"B","B3","Mid-Coast Fire Protection, Inc.","8 years","RENT",38700,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=593147",NA,"debt_consolidation","Debt Consolidation","934xx",12.19,0,"1/1/05",2,NA,NA,13,0,3677,26.5,17,FALSE,NA,1258,0
10000,10000,"36 months","14.35%",343.48,"C","C4","Nalco","9 years","MORTGAGE",87996,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=574907",NA,"debt_consolidation","Dawn","605xx",21.56,0,"6/1/96",4,NA,NA,17,0,32618,63.5,38,FALSE,NA,5358,0
17000,17000,"36 months","11.99%",564.57,"B","B5","Reines RV Center","3 years","MORTGAGE",73000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=759401",NA,"credit_card","no more cap1","221xx",22.27,0,"7/1/94",0,44,NA,10,0,26075,50.2,27,FALSE,NA,8060,0
16000,16000,"60 months","15.96%",388.75,"C","C5","Essintial Enterprise Solutions","10+ years","RENT",39000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=974653","Borrower added on 10/05/11 > Would like to consolidate three monthly payments (2 credit cards and 1 loan) into one monthly payment.<br/>","debt_consolidation","Debt Consolidation","171xx",16.62,0,"7/1/99",2,NA,NA,8,0,18527,62,10,FALSE,NA,7952,0
8000,8000,"60 months","10.99%",173.9,"B","B3","WDW","10+ years","RENT",22800,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=760850","Borrower added on 05/20/11 > I want to pay up credit cards and cut them up<br/> Borrower added on 05/24/11 > Please.....I really really want these credit cards GONE<br/>","debt_consolidation","debt consolidation","347xx",17.16,0,"7/1/88",0,NA,NA,9,0,10976,45.9,19,FALSE,NA,4467,0
5000,5000,"36 months","11.86%",165.74,"B","B5","Zachry Construction Corporation","1 year","RENT",66924,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=596115","Borrower added on 10/11/10 > I would like to take out a loan to make a purchase for a personal investment.  I am a great candidate for a loan because I have a low debt to income ratio, with the only real debt being my student loans, which is now less than 20k.  I purchased a truck on an aggressive 36 month loan and successfully completed paying it off in full in just less than the full 3 years.  I'm a civil engineer working for one of the most well known highway contractors in Texas.  Aside from my student loans, the only debt that I have are the common bills that most people have (vehicle insurance, cell phone, cable, internet, utilities, etc...).<br/>","major_purchase","Investment Money for MBST","787xx",4,1,"10/1/00",0,18,NA,3,0,1069,35.6,18,FALSE,NA,2091,0
18000,18000,"36 months","13.98%",615.03,"C","C3","Philips Healthcare","10+ years","RENT",81000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=549906",NA,"debt_consolidation","Debt Consolidation","850xx",5.3,0,"5/1/95",1,76,NA,4,0,12191,62.2,14,FALSE,NA,8195,0
8000,8000,"36 months","10.62%",260.48,"B","B3","Elkhorn Electropolish","2 years","RENT",60000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=495389","Borrower added on 03/16/10 > Paying off higher interest debt.  Consolidating into one payment.<br/>","debt_consolidation","Consolidation","531xx",16.26,0,"12/1/99",1,48,NA,12,0,5021,24.5,25,FALSE,NA,4146,0
8400,8400,"36 months","11.48%",276.94,"B","B2","Valley Learning Center","9 years","RENT",28000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=470293","Borrower added on 12/21/09 > Well...it's almost a new year.  I joined Lending Club a few months back to help my family get out of their pickle with their home; everything has worked out for the best; I loved using this program so, now that I am ready to start thinking about better ME for a change, I decided to use this affiliation as a way to do it.  <br/>I am looking to buy a new car...nothing fancy...or too expensive.  I haven't picked out anything specific but, with what I have saved and a little help from Lending Club, I am pretty sure I should be able to get something reliable, smart and affordable w/o the hassle of creepy car loans and dealers.<br/>Please refer ANY questions you have to me and I will get back to them as quickly as I can.<br/>Thanks for your time and assistance!  :)<br/>","car","Time for an upgrade :)","853xx",21.05,0,"7/1/89",1,NA,NA,5,0,438,21.9,5,FALSE,NA,4569,0
25000,25000,"36 months","11.86%",828.69,"B","B5","CODA Automotive, Inc","< 1 year","RENT",145000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=557104","Borrower added on 08/03/10 > I have $24000 in equity holdings I plan to sell at the end of the year. This loan is a short term for 6 months.<br/>","home_improvement","6 months loan","900xx",5.19,1,"9/1/02",0,20,NA,10,0,9000,24.6,29,FALSE,NA,9341,0
9000,9000,"36 months","7.29%",279.09,"A","A4","Waggener Edstrom WW","5 years","RENT",46000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=738309",NA,"debt_consolidation","Debt Consolidation Loan","970xx",10.23,0,"7/1/02",0,NA,NA,6,0,8955,54.3,10,FALSE,NA,4838,0
5025,5025,"36 months","13.43%",170.36,"C","C3","Ziff Davis Enterprise","2 years","RENT",40000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=651937","Borrower added on 01/11/11 > To consolidate several credit cards and car payments.<br/>","debt_consolidation","Debt Consolidation","019xx",8.22,0,"2/1/98",3,50,NA,10,0,4132,15.8,24,FALSE,NA,2554,0
30000,30000,"60 months","19.69%",789.66,"E","E5","Display Graphics LLC","10+ years","RENT",140000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=820300","Borrower added on 07/19/11 > The loan is for debt consolidation resulting from starting a business.  My credit history is clear siince 1978.<br/>","debt_consolidation","Debt Consolidation Loan","077xx",5.91,2,"9/1/78",0,4,NA,8,0,19445,66.1,20,FALSE,NA,9776,0
10000,10000,"60 months","18.62%",257.32,"F","F2","Dept. of Veterans Affairs","9 years","RENT",46880,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=649578",NA,"debt_consolidation","Freedom Loan","287xx",8.63,0,"2/1/00",0,NA,NA,6,0,8353,94.9,10,FALSE,NA,5785,0
14000,14000,"36 months","13.57%",475.56,"C","C3","Mountian High Moving & Storage","< 1 year","RENT",62400,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=445335","Hello,  In the aftermath of getting married, relocating to Colorado, and having a baby boy, my wife and I want to reduce our debt with a consolidation loan with the ultimate goal of buying a home next year.","debt_consolidation","Daddy pays down Debt","802xx",19.25,0,"6/1/93",5,NA,NA,14,0,12177,75.6,47,FALSE,NA,7026,0
12500,12500,"60 months","16.89%",309.92,"D","D4","Westlake Woods Assisted Living","7 years","MORTGAGE",25000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=768319","Borrower added on 06/06/11 > I plan on debt condsolidating, I have a very stable job and I pay my bills on time.<br/> Borrower added on 06/14/11 > I want to thank everyone that has helped fund this loan so far, as the days are winding down I want to add a little more detail to help investors in their decision. I have been at my job for almost 8yrs and I feel this says a lot about a person. I think it values dependability, loyalty and commitment. I apply these values in my home as well.<br/>","debt_consolidation","Personal Loan","164xx",15.31,0,"10/1/98",0,NA,94,7,1,8150,79.9,21,FALSE,NA,6751,0
7125,7125,"36 months","6.92%",219.74,"A","A3","Metropolitan Police  Department","10+ years","RENT",70000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=728284","Borrower added on 04/13/11 > using the funds for some unexpected debt<br/>","debt_consolidation","debtloan","206xx",28.61,0,"2/1/97",0,NA,NA,17,0,12955,21.2,29,FALSE,NA,3819,0
10100,10100,"36 months","14.88%",349.53,"E","E4","Sport and Health Co","5 years","RENT",43000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=238016","I will be using the money to consolidate a personal loan from Citi Financial Services at an very high interest rate of 25%.  I will also be using the remaining balance to reduce my credit card debt on a 22% interest rate card.","debt_consolidation","Debt Consolidation Loan","220xx",27.99,0,"11/1/95",0,38,45,13,1,14998,80.9,16,FALSE,NA,5814,0
14000,14000,"60 months","13.43%",321.64,"C","C3","Bucks County Intermediate Unit 22","3 years","RENT",36500,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=708116",NA,"wedding","Wedding Loan","191xx",22.88,0,"8/1/00",1,NA,NA,16,0,5562,36.6,37,FALSE,NA,7096,0
1700,1700,"36 months","10.38%",55.16,"B","B1","americold lig.","10+ years","OWN",34800,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=523687","Borrower added on 05/30/10 > I plan to use this loan to  pay lawyer to get custody of my grandchild. I have been at my job for 39 years.  I always pay my bills.<br/>","other","samantha","132xx",21.31,0,"12/1/76",1,NA,NA,8,0,27528,86,11,FALSE,NA,280,0
14400,14400,"36 months","13.61%",489.44,"C","C2","Fairfax County Sheriff's Office","10+ years","MORTGAGE",102000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=553278","Borrower added on 07/25/10 > Would like to pay off my credit cards, I feel that my credit is in good standing, I have been employed for the last 20 years with the same agencey.<br/> Borrower added on 07/25/10 > I plan on using this money to pay off my high intrest credit cards. I am not in trouble or have missed any payments. I just want to get out of debt and I am paying more now to each individual credit company than what the payment is to pay off this loan. I have listed the credit cards below that I would like to pay off;<br/>Home Depot $ 3191.06<br/>JCPenney $ 2396.17<br/>Target Visa $ 2508.94<br/>Bank of America Visa $ 3271.42<br/>Chase Visa $ 2233.44<br/><br/>Total $ 13601.03 <br/><br/>Thank you for your consideration<br/> Borrower added on 07/28/10 > I would like to thank each of my Investors<br/>","debt_consolidation","Piece of mind","225xx",10.69,1,"3/1/97",0,2,NA,10,0,11411,32.6,32,FALSE,NA,7171,0
6400,6400,"60 months","15.21%",152.97,"D","D2","FEDERAL BUREAU OF PRISONS","10+ years","MORTGAGE",75000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=586924","Borrower added on 09/25/10 > I plan to use the money to consolidate debt. I am a great borrower because I have a great credit score and I always pay my bills on time. I have had steady employment for 19 years and with my monthly budget i will have no problen paying the loan off. This loan will help me pay of credit cards and become debt free.<br/><br/>Thanks again<br/>","debt_consolidation","PAYOFF","913xx",20.08,0,"6/1/88",2,48,NA,12,0,13519,70.4,35,FALSE,NA,3387,0
16500,16500,"36 months","13.61%",560.82,"C","C2","Suffolk County District Attorney","5 years","RENT",72000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=565226",NA,"debt_consolidation","Consolidation Loan","119xx",23.85,0,"1/1/99",0,NA,NA,11,0,22746,76.3,41,FALSE,NA,8004,0
15000,12175,"60 months","16.82%",301.41,"E","E2","The Corcoran Group","6 years","MORTGAGE",108000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=543304",NA,"other","Consolidation Loan","112xx",5.81,1,"9/1/90",5,3,NA,6,0,7546,34.9,24,FALSE,NA,7684,0
5000,5000,"36 months","10.95%",163.57,"B","B1","Univest","2 years","RENT",56000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=421473","loan","other","loan","194xx",12.24,0,"10/1/92",2,NA,NA,8,0,24004,75.5,39,FALSE,NA,2037,0
24000,24000,"36 months","12.87%",807.2,"C","C1","MDU","2 years","MORTGAGE",3e+05,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=444372","Business growing well.   Have 2 high credit card rates caused by temporary credit report error due to billing error from physician office. The  error is corrected, but the rates are still very high- over 20%. Very irritating. Paying down balance at over 5K a month each.  Need a consolidated loan to pay down the balance in a sustainable way.","credit_card","Credit report error fixed; rates high","208xx",0.54,0,"11/1/97",1,NA,NA,3,0,5068,46.1,13,FALSE,NA,9136,0
5200,5200,"60 months","6.76%",102.38,"A","A2","USAF","10+ years","MORTGAGE",57000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=519560",NA,"other","Motorcycle Loan","294xx",8.46,0,"9/1/95",0,NA,NA,7,0,714,5,14,FALSE,NA,2591,0
5500,5500,"60 months","10.74%",118.88,"B","B4","Metro Credit Union","< 1 year","RENT",40000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=528329","Borrower added on 02/03/11 > Buying engagement ring for my girlfriend, just moved, stable job for the past 8 months and very good job security<br/>","wedding","Engagement","021xx",6.33,0,"1/1/02",0,NA,NA,3,0,7413,43.4,11,FALSE,NA,2695,0
19200,19200,"36 months","17.26%",687.06,"F","F1","University of Florida","1 year","MORTGAGE",58650,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=391872","I went to college with little understanding of economics. It seemed like a great idea to borrow money any time I fell short while in school since I had to pay my own way and I figured that the salary that I would be making after graduation would be more than adequate for quick repayment. I graduated three years ago with my B.S. and have worked hard to improve my financial situation since. I have learned a good deal about investments and credit while trying to pay off my debts and purchasing a home (87% LTV). I actually did manage to pay off and close nine accounts (various credit cards and an auto loan) which amounted to half of my total 'bad' debt, but the remaining five credit accounts are not budging. I am at the point where I have tried long enough to get rid of them that I believe that I need to just wipe them out at once. I have eliminated the physical cards and have been living off of income only. I have never missed a payment on any debt and I have never been late making a payment so I consider myself no risk to lenders. I have a good-excellent borderline credit score. The only tarnish on my credit file is the balance on these five accounts.","debt_consolidation","Sliced Up Credit Cards","326xx",9.78,0,"9/1/99",0,NA,NA,6,0,20732,96,22,FALSE,NA,8388,0
12000,12000,"36 months","13.55%",407.52,"D","D4","Sara Lee","10+ years","RENT",70000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=279283","To purchase equipment to expand quanity of bees","major_purchase","bee business expanding","953xx",17.07,0,"6/1/87",0,51,0,4,0,2549,57.9,13,FALSE,NA,6292,0
6000,6000,"36 months","8.49%",189.38,"A","A5","Lexmark International","4 years","RENT",71000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=797098",NA,"debt_consolidation","payoff_","405xx",18.35,0,"2/1/04",0,NA,NA,12,0,10511,60.3,22,FALSE,NA,3147,0
12000,12000,"36 months","9.91%",386.7,"B","B1","Dept of Treasury","9 years","RENT",50600,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=966960","Borrower added on 09/26/11 > I would use this loan to pay off all my debt.<br/>","debt_consolidation","Debt Consolidation Loan","641xx",18.43,0,"5/1/02",0,NA,NA,9,0,12983,80.1,41,FALSE,NA,6498,0
8000,8000,"36 months","7.88%",250.25,"A","A5",NA,"4 years","MORTGAGE",60000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=529140","Borrower added on 06/11/10 > The funds will be used to expand my health food store, specifically to purchase additional products from local farms.  Our buy fresh, buy local campaign has been very successful so I would like to continue that momentum with additional products.<br/><br/>I opened the store three years ago and we have seen a steady growth in sales.  Half of the store is dedicated to healthy food and supplements for people and half is for pets.  This has proven to be a winning combination.  Customers appreciate being able to purchase fresh, local products for themselves and premium food and supplements for their pets at the same location.  Ours is a unique place which has been described by some as a destination store.<br/>","small_business","Business Capital","226xx",21.76,0,"9/1/96",1,NA,NA,7,0,13861,50.4,30,FALSE,NA,4422,0
10775,10775,"36 months","15.37%",375.47,"D","D5","nassau inn","1 year","RENT",20796,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=379896","Loan for used truck and materials to start landscaping business","major_purchase","Heather Loan","085xx",5.02,0,"11/1/05",2,NA,NA,5,0,1889,43.9,6,FALSE,NA,5921,0
9000,9000,"36 months","11.86%",298.33,"B","B5","United Nations","10+ years","RENT",120000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=567976","Borrower added on 08/20/10 > I have been working in my current job since 1993.<br/>","debt_consolidation","Mirirai1","100xx",4.43,2,"2/1/00",0,16,NA,14,0,15318,62.2,20,FALSE,NA,4761,1
27600,27600,"60 months","15.65%",666.06,"D","D4","City of New York","5 years","RENT",53086,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=736171",NA,"debt_consolidation","No more","112xx",17.54,0,"9/1/97",0,81,NA,6,0,11933,75.4,35,FALSE,NA,9649,0
7500,7500,"36 months","7.51%",233.34,"A","A4","Starr Home Health Agency","5 years","OWN",26004,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=560524",NA,"debt_consolidation","lower payment","785xx",21.41,0,"7/1/91",0,NA,NA,5,0,9208,35.8,15,FALSE,NA,4024,0
4000,4000,"36 months","5.42%",120.64,"A","A1","Johnson County School District #1","8 years","MORTGAGE",50000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=784950","Borrower added on 07/07/11 > The loan is being used for the purchase of a Trailmanor travel trailer RV.<br/>","major_purchase","Trailmanor","828xx",15.65,0,"12/1/95",0,NA,NA,6,0,6405,23.7,16,FALSE,NA,1508,0
2400,2400,"36 months","14.72%",82.87,"C","C5",NA,"n/a","RENT",18000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=592219","Borrower added on 09/30/10 > I am currently need of money to help with upcoming student loan payments.  I do not have enough right now from my job but the boost will prepare me for payments and assist in giving me time to accrue more money on my own.<br/>","debt_consolidation","Debt Consolidation Loan","430xx",1.67,0,"9/1/06",0,NA,NA,9,0,0,NA,10,FALSE,NA,536,0
5600,5600,"60 months","15.65%",135.15,"D","D4","Southeastern Regional","6 years","MORTGAGE",70000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=683871","Borrower added on 04/25/11 > The &quot;purpose&quot; is incorrect.  The funds would be used for &quot;Home Improvement&quot; to replace old entry deck and also vinyl side the entry section of the house.  I am working my way around the house and am financing pieces rather than the entire project.<br/><br/>I have no idea why Lending Tree miscategorized the purpose of the loan as I entered this information previously regarding the Home Improvement description.<br/> Borrower added on 04/27/11 > &quot;Lending Club&quot; ... oops :)<br/>","debt_consolidation","Siding/Deck","023xx",17.91,1,"12/1/96",1,22,NA,22,0,6573,30.6,52,FALSE,NA,2762,0
6000,6000,"36 months","13.24%",202.86,"D","D3","National Liberty Museum","10+ years","OWN",38400,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=299999","I need to do repairs on my home.","home_improvement","mcs project","191xx",23.09,0,"7/1/94",1,48,NA,10,0,9912,65.6,21,FALSE,NA,2925,0
17000,17000,"36 months","10.25%",550.55,"B","B2","Brown University","1 year","MORTGAGE",83000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=490988","Borrower added on 03/04/10 > We recently purchased our first house and would like to take on some minor renovations, but have learned that banks expect a lot of equity ($50,000+) before they will consider you for a home improvement loan.<br/> Borrower added on 03/06/10 > In response to a few questions- I'm an architect and my fixed expenses are $1,500 mortgage w/utilities and $350 car w/insurance and $150/mo student loan repayment.  Including this payment and other expenses my budget will have approximately $1200 a month remaining unallocated.  Thanks.<br/>","home_improvement","Roof","029xx",16.19,0,"11/1/95",0,NA,NA,12,0,18293,43.1,23,FALSE,NA,8053,0
5000,5000,"36 months","16.95%",178.14,"E","E5","perlmart shoprite","5 years","MORTGAGE",110000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=377376","payoff assisted living expense of mother","other","mother","088xx",14.95,4,"12/1/89",0,15,NA,5,0,49238,NA,22,FALSE,NA,2279,0
12000,12000,"36 months","13.49%",407.17,"C","C1","Nissan","< 1 year","RENT",50000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=900575",NA,"debt_consolidation","Debt consolidation","223xx",9.48,0,"8/1/03",1,28,NA,5,0,6631,67.7,19,FALSE,NA,6288,0
8000,8000,"36 months","13.16%",270.17,"C","C3","PEC Corp.","< 1 year","RENT",50000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=383004","I have three credit cards that are costing my $700 a month in fees and a car loan that is costing $409 a month.  I would like to close two credit card accounts and payoff car and reduce my monthly payments.","debt_consolidation","Take Care of High Interest Credit Cards","810xx",19.51,0,"10/1/96",0,38,NA,4,0,7936,50.9,23,FALSE,NA,4235,0
25000,25000,"36 months","15.57%",873.63,"D","D5","Customs and Border Protection","10+ years","MORTGAGE",81000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=646694","Borrower added on 01/04/11 > I plan to use to the loan to pay off high creditcard balances. I have always made my payments on time, and have worked full-time for Customs and Border Protection for over 22 years. Additionally, I have paid my mortagage on time, and any other bills that I may have incurred. This loan will be perfect for me, because it will allow my to have one payment, whereas they have been broken up into two or three, and it will be paid off sooner than I would be able to, if things remained status quo. Thanking you in advance for your service.<br/>","debt_consolidation","Carlscreditresolve","900xx",6.74,0,"3/1/98",1,72,NA,5,0,16481,99.9,24,FALSE,NA,9409,1
25000,25000,"60 months","11.71%",552.46,"B","B3",NA,"10+ years","MORTGAGE",60000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1038518","Borrower added on 11/22/11 > Pay off debts, home improvements<br>","house","auto loan","604xx",13.38,0,"3/1/98",2,NA,NA,16,0,7414,8.3,26,FALSE,NA,9486,0
5000,5000,"36 months","15.20%",173.82,"D","D4","US Army","10+ years","RENT",89400,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=600080","Borrower added on 10/18/10 > Need personal loan for deposit on new home. I need to move by the 1st of November<br/>","moving","TNT Moving","923xx",21.1,0,"1/1/94",1,33,111,4,1,461,92.2,14,FALSE,NA,2233,0
12000,12000,"36 months","15.45%",418.64,"E","E5","Greatwide logistics Services","< 1 year","MORTGAGE",52000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=243336","Hello,  My wife  and I would like a loan to have our roof replaced with an estimate of  just under $6,000.00 and to pay off some credit cards. With two children  a mortgage and other bills we are unable to save enough to have a new roof put on.","home_improvement","Loan for Home repair credit card pay off","342xx",9.74,0,"10/1/94",3,71,0,12,0,13665,49.9,34,FALSE,NA,6327,0
2800,2800,"60 months","20.16%",74.44,"G","G1","United States Marine Corps","3 years","RENT",20400,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=529529",NA,"moving","Movement Loan","222xx",19.82,0,"1/1/07",0,NA,NA,3,0,1462,97.5,3,FALSE,NA,756,0
20000,20000,"60 months","11.49%",439.76,"B","B4","cohoes police dept","10+ years","MORTGAGE",88000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=593976",NA,"debt_consolidation","personal","121xx",4.64,0,"1/1/02",2,NA,NA,6,0,9479,59.2,17,FALSE,NA,8695,0
16500,16500,"36 months","12.18%",549.45,"B","B4","Hammmersmith Builders","8 years","OWN",75000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=443796","This loan would be to pay off a Bank of America account that has a interest rate of 17%  I have been paying $500 per month plus the interest on this account to try and get the balance down.  My goal is to keep making the same payment but have a lower interest rate.","credit_card","bank of america pay off","021xx",16.06,0,"11/1/95",0,28,NA,7,0,43373,66.9,23,FALSE,NA,8003,0
20000,20000,"36 months","12.53%",669.33,"C","C1","ATC associates, inc","4 years","RENT",68000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=388591","I am looking for a way to consolidate my payments in one place so I can make a larger overall payment to pay everything down quicker.","debt_consolidation","Consolidation Loan","346xx",18.23,0,"5/1/95",2,NA,NA,13,0,25313,43.4,44,FALSE,NA,8504,0
5000,5000,"36 months","6.62%",153.52,"A","A2","Cargill, Inc.","7 years","MORTGAGE",64000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1049278","Borrower added on 12/01/11 > We will be using this load to pay off IRS for past taxes.<br>","debt_consolidation","Tax Payoff","550xx",1.54,1,"9/1/00",0,14,NA,12,0,4690,11.9,20,FALSE,NA,2327,0
8450,8450,"36 months","11.71%",279.5,"B","B3",NA,"n/a","RENT",21040.2,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=999672","Borrower added on 10/22/11 > I am requesting a loan to Consolidate all my debt to make it easy for me to get rid of my debt sooner. I have always paid my bills on time and with the economy the way it is i am finding it harder to stay ahead of the game. I want to make it easier by making just one payment and having some money left over to put into a savings account.<br/>","debt_consolidation","LedingClubLoan","922xx",16.69,0,"12/1/96",1,NA,NA,7,0,11545,58.6,18,FALSE,NA,4617,0
